label=GoogleLES build_tabular end-to-end
samples=13451 sample_rate=0.05
format=flat sortedby=count mincount=5

    Count  Overhead File                                                                                                                        Line Function
      208         0 @MLCondensateDistributions/utils/build_training_data.jl                                                                     294 build_tabular(site_id::Int64, month::Int64, experiment::String, output_dir::String; max_timesteps::Int64, timestep_batch_size::Int64, min_h_re…
      224         0 @HTTP/src/HTTP.jl                                                                                                           321 kwcall(::@NamedTuple{query::Dict{String, String}}, ::typeof(HTTP.request), method::String, url::String, h::Dict{String, String})
      224         0 @Base/abstractarray.jl                                                                                                      832 similar
      224       224 @Zarr/src/ZArray.jl                                                                                                          36 Zarr.ZArray{Float32, 4, Zarr.BloscCompressor, Zarr.GCStore}(metadata::Zarr.Metadata{Float32, 4, Zarr.BloscCompressor, Nothing}, storage::Zarr.…
      238         0 @Zarr/src/ZGroup.jl                                                                                                          25 Zarr.ZGroup(s::Zarr.GCStore, mode::String, path::SubString{String}; fill_as_missing::Bool)
      240        16 @HTTP/src/HTTP.jl                                                                                                           526 get(::String, ::Vararg{Any}; kw::Base.Pairs{Symbol, Dict{String, String}, Nothing, @NamedTuple{query::Dict{String, String}}})
      240         0 @HTTP/src/HTTP.jl                                                                                                           526 kwcall(::@NamedTuple{query::Dict{String, String}}, ::typeof(HTTP.get), ::String, ::Vararg{Any})
      240        48 @Base/array.jl                                                                                                              815 _collect(c::Vector{Any}, itr::Base.Generator{Vector{Any}, Zarr.var"#subdirs##4#subdirs##5"}, ::Base.EltypeUnknown, isz::Base.HasShape{1})
      240         0 @Base/strings/io.jl                                                                                                         152 print_to_string(::String, ::Int64, ::String, ::Int64, ::String, ::Int64, ::String, ::Float64, ::String)
      248       248 @HTTP/src/clientlayers/StreamRequest.jl                                                                                     178 readbody!(stream::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, res::HTTP.Messages.Response, bu…
      264         0 @Base/strings/util.jl                                                                                                       897 split(str::String, splitter::Char)
      272         0 @Zarr/src/ZGroup.jl                                                                                                          47 zopen_noerr(s::Zarr.GCStore, mode::String; consolidated::Bool, path::SubString{String}, lru::Int64, fill_as_missing::Bool)
      272         0 @Base/asyncmap.jl                                                                                                            98 async_usemap(f::Zarr.var"#read_items!##0#read_items!##1"{Zarr.GCStore, Channel{Pair{CartesianIndex{4}, Union{Nothing, Vector{UInt8}}}}, String…
      280         0 @Base/channels.jl                                                                                                           527 take_buffered(c::Channel{Pair{CartesianIndex{4}, Union{Nothing, Vector{UInt8}}}})
