label=GoogleLES build_tabular end-to-end
format=flat sortedby=count mincount=5

 Count  Overhead File                                                                                                                        Line Function
   736         0 @HTTP/src/Streams.jl                                                                                                        159 startread(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}})
   738         0 @HTTP/src/clientlayers/StreamRequest.jl                                                                                      56 macro expansion
   748         0 @OpenSSL/src/ssl.jl                                                                                                         655 eof(ssl::OpenSSL.SSLStream)
   832       828 @Base/task.jl                                                                                                              1216 poptask(W::Base.IntrusiveLinkedListSynchronized{Task})
   834         0 @Base/task.jl                                                                                                              1228 wait()
  1307      1307 @Base/strings/string.jl                                                                                                     120 unsafe_wrap
  1308         0 @HTTP/src/Streams.jl                                                                                                        315 readbytes!(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, buf::IOBuffer, n::Int64)
  1308         0 @HTTP/src/Streams.jl                                                                                                        288 _alloc_request
  1308         0 @Base/iobuffer.jl                                                                                                           544 _resize!(io::IOBuffer, new_size::Int64, exact::Bool)
  1308         0 @Base/iobuffer.jl                                                                                                           296 _similar_data
  1308         0 @Base/iobuffer.jl                                                                                                           167 StringMemory
  1309         0 @Base/iobuffer.jl                                                                                                           654 ensureroom_slowpath(io::IOBuffer, nshort::UInt64, available_bytes::Int64)
  1324         1 @Base/iobuffer.jl                                                                                                           611 ensureroom
  1325         0 @Base/stream.jl                                                                                                             618 alloc_request
  2025         0 @HTTP/src/Streams.jl                                                                                                        343 readall!(http::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, buf::IOBuffer)
  2026         0 @HTTP/src/clientlayers/StreamRequest.jl                                                                                     177 readbody!(stream::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, res::HTTP.Messages.Response, buf_o…
  2026         0 @HTTP/src/Streams.jl                                                                                                        329 read
  2031         0 @HTTP/src/clientlayers/StreamRequest.jl                                                                                      61 macro expansion
  2031         0 @HTTP/src/clientlayers/StreamRequest.jl                                                                                     150 readbody(stream::HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, res::HTTP.Messages.Response, decomp…
  2773         0 @ConcurrentUtilities/src/ConcurrentUtilities.jl                                                                              10 (::HTTP.StreamRequest.var"#6#7"{Nothing, Nothing, HTTP.Streams.Stream{HTTP.Messages.Response, HTTP.Connections.Connection{OpenSSL.SSLStream}}, HT…
Total snapshots: 3657. Utilization: 77% across all threads and tasks. Use the `groupby` kwarg to break down by thread and/or task.
